,depth,element,height,parentNode,text,width,x,xpath,y,attributes.href,attributes.rel,attributes.type,attributes.charset,attributes.content,attributes.name,attributes.itemprop,attributes.id,attributes.class,attributes.jscontroller,attributes.data-ved,attributes.jsaction,attributes.jsname,attributes.role,attributes.tabindex,attributes.ping,attributes.data-async-context,attributes.style,attributes.data-async-context-required,attributes.data-async-type,attributes.data-jiis,attributes.data-async-trigger,attributes.action,attributes.data-submitfalse,attributes.method,attributes.jsdata,attributes.jsmodel,attributes.data-adhe,attributes.data-alt,attributes.data-hveid,attributes.title,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.height,attributes.src,attributes.width,attributes.focusable,attributes.viewBox,attributes.xmlns,attributes.data-promo-open-duration,attributes.__is_owner,attributes.data-dismiss,attributes.jsshadow,attributes.jsowner,attributes.jsslot,attributes.aria-autocomplete,attributes.aria-haspopup,attributes.aria-label,attributes.autocapitalize,attributes.autocomplete,attributes.autocorrect,attributes.maxlength,attributes.spellcheck,attributes.value,attributes.data-view-type,attributes.disabled,attributes.data-po,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.target,attributes.aria-current,attributes.data-short-label,attributes.aria-controls,attributes.data-m,attributes.aria-modal,attributes.for,attributes.data-cssl,attributes.data-safesearch-enabled,attributes.data-setprefs-off-url,attributes.data-setprefs-on-url,attributes.aria-labelledby,attributes.aria-disabled,attributes.data-rwl,attributes.aria-checked,attributes.data-index,attributes.data-spl,attributes.data-iatvcap,attributes.aria-level,attributes.data-isdesktop,attributes.aria-owns,attributes.data-idx,attributes.data-record-click-time,attributes.seo-pixel,attributes.data-cid,attributes.aria-hidden,attributes.aria-describedby,attributes.data-url,attributes.data-bsrc,attributes.data-ftflomc,attributes.data-ppmapi,attributes.data-sdhc,attributes.data-sm-lc,attributes.data-sz,attributes.draggable,attributes.aria-roledescription,attributes.frameborder,attributes.aria-pressed,attributes.data-control-height,attributes.data-control-width,attributes.dir,attributes.data-lpa,attributes.data-sokoban-container,attributes.data-header-feature,attributes.data-content-feature,attributes.data-initq,attributes.data-it,attributes.data-qc,attributes.data-bs,attributes.data-sgrd,attributes.data-dcp,attributes.data-lk,attributes.data-q,attributes.data-md,attributes.data-attrid,attributes.colspan,attributes.data-async-fc,attributes.data-async-fcv,attributes.data-async-ons,attributes.data-anim,attributes.data-fcss,attributes.data-npd,attributes.data-slct,attributes.data-kno-aco,attributes.data-i,attributes.data-fc,attributes.data-sd,attributes.data-reltype,attributes.data-rentity,attributes.data-original-name,attributes.data-abe,attributes.data-u,attributes.data-pcs,attributes.valign,price,attributes.data-ei,attributes.data-ucsi,attributes.data-biw,attributes.data-id,attributes.data-eom-state,attributes.data-bucket,attributes.data-psd-ssc,attributes.aria-live
1406,17,A,48.0,DIV,autozone near me,318.0,28.0,//*[@id='w3bYAd']/div/div[2]/div/div[1]/div[1]/a,449.0,/search?gl=US&hl=en&q=AutoZone+near+me&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAg0EAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:28,y:2564,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,17,A,48.0,DIV,24-hour autozone indianapolis,318.0,28.0,//*[@id='w3bYAd']/div/div[2]/div/div[1]/div[2]/a,505.0,/search?gl=US&hl=en&q=24-hour+autozone+indianapolis&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAhCEAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:28,y:2620,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,17,A,48.0,DIV,o'reilly's indianapolis,318.0,28.0,//*[@id='w3bYAd']/div/div[2]/div/div[1]/div[3]/a,561.0,/search?gl=US&hl=en&q=O%27reilly%27s+Indianapolis&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAhAEAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:28,y:2676,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,17,A,48.0,DIV,advance auto parts indianapolis,318.0,28.0,//*[@id='w3bYAd']/div/div[2]/div/div[1]/div[4]/a,617.0,/search?gl=US&hl=en&q=Advance+Auto+Parts+Indianapolis&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAg_EAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:28,y:2732,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,17,A,48.0,DIV,autozone greenwood,318.0,362.0,//*[@id='w3bYAd']/div/div[2]/div/div[2]/div[1]/a,449.0,/search?gl=US&hl=en&q=AutoZone+Greenwood&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAg4EAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:362,y:2564,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,17,A,48.0,DIV,autozone west washington street,318.0,362.0,//*[@id='w3bYAd']/div/div[2]/div/div[2]/div[2]/a,505.0,/search?gl=US&hl=en&q=AutoZone+west+Washington+street&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAg8EAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:362,y:2620,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,17,A,48.0,DIV,autozone on east washington street,318.0,362.0,//*[@id='w3bYAd']/div/div[2]/div/div[2]/div[3]/a,561.0,/search?gl=US&hl=en&q=AutoZone+on+east+Washington+street&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAgzEAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:362,y:2676,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,17,A,48.0,DIV,napa auto parts indianapolis,318.0,362.0,//*[@id='w3bYAd']/div/div[2]/div/div[2]/div[4]/a,617.0,/search?gl=US&hl=en&q=Napa+Auto+Parts+Indianapolis&sa=X&ved=2ahUKEwiq7aGqzP73AhUJFM0KHdrdAEQQ1QJ6BAg6EAE,,,,,,,,k8XOCe R0xfCb VCOFK s8bAkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[x:362,y:2732,w:318,h:48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
