,depth,element,height,parentNode,text,width,x,xpath,y,attributes.href,attributes.rel,attributes.type,attributes.charset,attributes.content,attributes.name,attributes.itemprop,attributes.id,attributes.class,attributes.jscontroller,attributes.data-ved,attributes.jsaction,attributes.jsname,attributes.role,attributes.tabindex,attributes.ping,attributes.data-async-context,attributes.style,attributes.data-async-context-required,attributes.data-async-type,attributes.data-jiis,attributes.data-async-trigger,attributes.action,attributes.data-submitfalse,attributes.method,attributes.jsdata,attributes.jsmodel,attributes.data-adhe,attributes.data-alt,attributes.data-hveid,attributes.title,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.height,attributes.src,attributes.width,attributes.focusable,attributes.viewBox,attributes.xmlns,attributes.data-promo-open-duration,attributes.__is_owner,attributes.data-dismiss,attributes.jsshadow,attributes.jsowner,attributes.jsslot,attributes.aria-autocomplete,attributes.aria-haspopup,attributes.aria-label,attributes.autocapitalize,attributes.autocomplete,attributes.autocorrect,attributes.maxlength,attributes.spellcheck,attributes.value,attributes.data-view-type,attributes.disabled,attributes.data-po,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.target,attributes.aria-current,attributes.data-short-label,attributes.aria-controls,attributes.data-m,attributes.aria-modal,attributes.for,attributes.data-cssl,attributes.data-safesearch-enabled,attributes.data-setprefs-off-url,attributes.data-setprefs-on-url,attributes.aria-labelledby,attributes.aria-disabled,attributes.data-rwl,attributes.aria-checked,attributes.data-index,attributes.data-spl,attributes.data-iatvcap,attributes.aria-level,attributes.data-isdesktop,attributes.aria-owns,attributes.data-idx,attributes.data-record-click-time,attributes.seo-pixel,attributes.data-cid,attributes.aria-hidden,attributes.aria-describedby,attributes.data-url,attributes.data-bsrc,attributes.data-ftflomc,attributes.data-ppmapi,attributes.data-sdhc,attributes.data-sm-lc,attributes.data-sz,attributes.draggable,attributes.aria-roledescription,attributes.frameborder,attributes.aria-pressed,attributes.data-control-height,attributes.data-control-width,attributes.dir,attributes.data-lpa,attributes.data-sokoban-container,attributes.data-header-feature,attributes.data-content-feature,attributes.data-initq,attributes.data-it,attributes.data-qc,attributes.data-bs,attributes.data-sgrd,attributes.data-dcp,attributes.data-lk,attributes.data-q,attributes.data-md,attributes.data-attrid,attributes.colspan,attributes.data-async-fc,attributes.data-async-fcv,attributes.data-async-ons,attributes.data-anim,attributes.data-fcss,attributes.data-npd,attributes.data-slct,attributes.data-kno-aco,attributes.data-i,attributes.data-fc,attributes.data-sd,attributes.data-reltype,attributes.data-rentity,attributes.data-original-name,attributes.data-abe,attributes.data-u,attributes.data-pcs,attributes.valign,price,attributes.data-ei,attributes.data-ucsi,attributes.data-biw,attributes.data-id,attributes.data-eom-state,attributes.data-bucket,attributes.data-psd-ssc,attributes.aria-live
725,21,CITE,17.0,DIV.TbwUpd.NJjxre,https://www.autozone.com › ... › IN › Indianapolis,301.140625,28.0,//*[@id='rso']/div[1]/div/div/div[1]/div/div/div[1]/div/a/div/cite,-1418.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,20,CITE,17.0,DIV.TbwUpd.NJjxre,https://www.mapquest.com › ... › Indiana › Indianapolis,336.953125,28.0,//*[@id='rso']/div[3]/div/div[1]/div/div/div[1]/div/a/div/cite,-895.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,17,CITE,17.0,DIV.TbwUpd.NJjxre,https://www.loc8nearme.com › indiana › autozone,306.609375,28.0,//*[@id='rso']/div[4]/div/div[1]/div/a/div/cite,-632.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,17,CITE,17.0,DIV.TbwUpd.NJjxre,"https://www.yellowpages.com › Indianapolis, IN",291.8125,28.0,//*[@id='rso']/div[5]/div/div[1]/div/a/div/cite,-482.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,17,CITE,17.0,DIV.TbwUpd.NJjxre,https://www.mystore411.com › ... › AutoZone in US,313.578125,28.0,//*[@id='rso']/div[6]/div/div[1]/div/a/div/cite,-354.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,17,CITE,17.0,DIV.TbwUpd.NJjxre,https://m.yelp.com › ... › Auto Parts & Supplies,285.5625,28.0,//*[@id='rso']/div[7]/div/div/div[1]/a/div/cite,-226.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,18,CITE,17.0,DIV.TbwUpd.NJjxre,https://www.facebook.com › ... › Automotive Parts Store,342.375,28.0,//*[@id='rso']/div[8]/div/div/div[1]/div/a/div/cite,8.0,,,,,,,,,iUh30 qLRx3b tjvcx,,,,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
