,depth,element,height,parentNode,text,width,x,xpath,y,attributes.charset,attributes.content,attributes.name,attributes.itemprop,attributes.class,attributes.href,attributes.aria-label,attributes.fill,attributes.height,attributes.stroke,attributes.stroke-width,attributes.viewBox,attributes.width,attributes.id,attributes.type,attributes.value,attributes.autocapitalize,attributes.autocomplete,attributes.spellcheck,attributes.role,attributes.style,attributes.tabindex,attributes.seo-pixel,attributes.aria-expanded,attributes.data-ved,attributes.xmlns,price,attributes.aria-hidden,attributes.alt,attributes.data-deferred,attributes.src,attributes.focusable
27,9,A,39,DIV.Pg70bf.Uv67qb,Maps,66.015625,476.421875,//*[@id='main']/div[1]/div[1]/div/div/div/a[4],-1668.0,,,,,,https://maps.google.com/maps?q=rear+windshield+wipers&uule=w+CAIQICIiSW5kaWFuYXBvbGlzLEluZGlhbmEsVW5pdGVkIFN0YXRlcw%3D%3D&gl=US&hl=en&um=1&ie=UTF-8&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQ_AUICSgE,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9,A,39,DIV.Pg70bf.Uv67qb,News,68.0,543.859375,//*[@id='main']/div[1]/div[1]/div/div/div/a[5],-1668.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnms&tbm=nws&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQ_AUICigF,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9,A,39,DIV.Pg70bf.Uv67qb,Books,74.6875,613.28125,//*[@id='main']/div[1]/div[1]/div/div/div/a[6],-1668.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnms&tbm=bks&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQ_AUICygG,,,,,,,,,,,,,,,,,,,,,,,,,,
30,9,DIV,39,DIV.Pg70bf.Uv67qb,Search tools,126.59375,689.390625,//*[@id='main']/div[1]/div[1]/div/div/div/div,-1668.0,,,,,FElbsf,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10,A,37,DIV.FElbsf,Search tools,125.59375,690.390625,//*[@id='st-toggle'],-1668.0,,,,,,/advanced_search,,,,,,,,st-toggle,,,,,,button,white-space:nowrap,,,,,,,,,,,
32,6,DIV,0,DIV#st-card.Pg70bf.wEsjbd.ZINbbc.xpd.O9g5cc.uUPGi,".PA9J5{display:inline-block}.RXaOfd{display:inline-block;height:22px;position:relative;padding-top:0;padding-bottom:0;padding-right:16px;padding-left:0;line-height:22px;cursor:pointer;text-transform:uppercase;font-size:12px;color:#70757a}.sa1toc{display:none;position:absolute;background:#fff;border:1px solid #d6d6d6;box-shadow:0 2px 4px rgba(0,0,0,.3);margin:0;white-space:nowrap;z-index:103;line-height:17px;padding-top:5px;padding-bottom:5px;padding-left:0}.PA9J5:hover .sa1toc{display:block}.mGSy8d a:active,.RXaOfd:active{color:#4285f4}.TWMOUc{display:inline-block;padding-right:14px;white-space:nowrap}.vQYuGf{font-weight:bold}.OmTIzf{border-color:#909090 transparent;border-style:solid;border-width:4px 4px 0 4px;width:0;height:0;margin-left:-10px;top:50%;margin-top:-2px;position:absolute}.RXaOfd:active .OmTIzf{border-color:#4285f4 transparent}Any time.ozatM{font-size:12px;text-transform:uppercase}.ozatM .yNFsl,.ozatM li{list-style-type:none;list-style-position:outside;list-style-image:none}.yNFsl.SkUj4c,.yNFsl a{color:rgba(0,0,0,0.54);text-decoration:none;padding:6px 44px 6px 14px;line-height:17px;display:block}.SkUj4c{background-image:url(//ssl.gstatic.com/ui/v1/menu/checkmark2.png);background-position:right center;background-repeat:no-repeat}.SkUj4c:active{background-color:#f8f9fa}Any timePast hourPast 24 hoursPast weekPast monthPast yearAll resultsAll resultsVerbatim",0.0,0.0,//*[@id='st-card']/div,0.0,,,,,Xj2aue,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7,DIV,0,DIV.Xj2aue,".PA9J5{display:inline-block}.RXaOfd{display:inline-block;height:22px;position:relative;padding-top:0;padding-bottom:0;padding-right:16px;padding-left:0;line-height:22px;cursor:pointer;text-transform:uppercase;font-size:12px;color:#70757a}.sa1toc{display:none;position:absolute;background:#fff;border:1px solid #d6d6d6;box-shadow:0 2px 4px rgba(0,0,0,.3);margin:0;white-space:nowrap;z-index:103;line-height:17px;padding-top:5px;padding-bottom:5px;padding-left:0}.PA9J5:hover .sa1toc{display:block}.mGSy8d a:active,.RXaOfd:active{color:#4285f4}.TWMOUc{display:inline-block;padding-right:14px;white-space:nowrap}.vQYuGf{font-weight:bold}.OmTIzf{border-color:#909090 transparent;border-style:solid;border-width:4px 4px 0 4px;width:0;height:0;margin-left:-10px;top:50%;margin-top:-2px;position:absolute}.RXaOfd:active .OmTIzf{border-color:#4285f4 transparent}Any time.ozatM{font-size:12px;text-transform:uppercase}.ozatM .yNFsl,.ozatM li{list-style-type:none;list-style-position:outside;list-style-image:none}.yNFsl.SkUj4c,.yNFsl a{color:rgba(0,0,0,0.54);text-decoration:none;padding:6px 44px 6px 14px;line-height:17px;display:block}.SkUj4c{background-image:url(//ssl.gstatic.com/ui/v1/menu/checkmark2.png);background-position:right center;background-repeat:no-repeat}.SkUj4c:active{background-color:#f8f9fa}Any timePast hourPast 24 hoursPast weekPast monthPast yearAll resultsAll resultsVerbatim",0.0,0.0,//*[@id='st-card']/div/div,0.0,,,,,coPU8c,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8,DIV,0,DIV.coPU8c,".PA9J5{display:inline-block}.RXaOfd{display:inline-block;height:22px;position:relative;padding-top:0;padding-bottom:0;padding-right:16px;padding-left:0;line-height:22px;cursor:pointer;text-transform:uppercase;font-size:12px;color:#70757a}.sa1toc{display:none;position:absolute;background:#fff;border:1px solid #d6d6d6;box-shadow:0 2px 4px rgba(0,0,0,.3);margin:0;white-space:nowrap;z-index:103;line-height:17px;padding-top:5px;padding-bottom:5px;padding-left:0}.PA9J5:hover .sa1toc{display:block}.mGSy8d a:active,.RXaOfd:active{color:#4285f4}.TWMOUc{display:inline-block;padding-right:14px;white-space:nowrap}.vQYuGf{font-weight:bold}.OmTIzf{border-color:#909090 transparent;border-style:solid;border-width:4px 4px 0 4px;width:0;height:0;margin-left:-10px;top:50%;margin-top:-2px;position:absolute}.RXaOfd:active .OmTIzf{border-color:#4285f4 transparent}Any time.ozatM{font-size:12px;text-transform:uppercase}.ozatM .yNFsl,.ozatM li{list-style-type:none;list-style-position:outside;list-style-image:none}.yNFsl.SkUj4c,.yNFsl a{color:rgba(0,0,0,0.54);text-decoration:none;padding:6px 44px 6px 14px;line-height:17px;display:block}.SkUj4c{background-image:url(//ssl.gstatic.com/ui/v1/menu/checkmark2.png);background-position:right center;background-repeat:no-repeat}.SkUj4c:active{background-color:#f8f9fa}Any timePast hourPast 24 hoursPast weekPast monthPast yearAll resultsAll resultsVerbatim",0.0,0.0,//*[@id='st-card']/div/div/div,0.0,,,,,RnNGze,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,DIV,0,DIV.RnNGze,".TWMOUc{display:inline-block;padding-right:14px;white-space:nowrap}.vQYuGf{font-weight:bold}.OmTIzf{border-color:#909090 transparent;border-style:solid;border-width:4px 4px 0 4px;width:0;height:0;margin-left:-10px;top:50%;margin-top:-2px;position:absolute}.RXaOfd:active .OmTIzf{border-color:#4285f4 transparent}Any time.ozatM{font-size:12px;text-transform:uppercase}.ozatM .yNFsl,.ozatM li{list-style-type:none;list-style-position:outside;list-style-image:none}.yNFsl.SkUj4c,.yNFsl a{color:rgba(0,0,0,0.54);text-decoration:none;padding:6px 44px 6px 14px;line-height:17px;display:block}.SkUj4c{background-image:url(//ssl.gstatic.com/ui/v1/menu/checkmark2.png);background-position:right center;background-repeat:no-repeat}.SkUj4c:active{background-color:#f8f9fa}Any timePast hourPast 24 hoursPast weekPast monthPast year",0.0,0.0,//*[@id='st-card']/div/div/div/div[1],0.0,,,,,PA9J5,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,DIV,0,DIV.PA9J5,.TWMOUc{display:inline-block;padding-right:14px;white-space:nowrap}.vQYuGf{font-weight:bold}.OmTIzf{border-color:#909090 transparent;border-style:solid;border-width:4px 4px 0 4px;width:0;height:0;margin-left:-10px;top:50%;margin-top:-2px;position:absolute}.RXaOfd:active .OmTIzf{border-color:#4285f4 transparent}Any time,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/div,0.0,,,,,RXaOfd,,,,,,,,,,,,,,,button,,0,,,,,,,,,,
